id,nombre,codigo
445,Editorial Onda,DLV00003064
446,Editorial Pasado y Presente,DLV00013101
447,Editorial Paulinas,DLV00009341
448,Editorial Planeta  S.A.,DLV00001181
449,Editorial Pre-Textos,DLV00002041
450,Editorial Pòrtic,DLV00004242
451,Editorial Raíces,DLV00056784
452,Editorial Renacimiento,DLV00001722
453,Editorial Reus S.A.,DLV00003662
454,Editorial Reverté,DLV00000421
455,Editorial Sal Terrae,DLV00009461
456,Editorial San Esteban,DLV00007141
457,Editorial Sargantana,DLV00057164
458,Editorial Seix Barral,DLV00004581
459,Editorial Servet,DLV00012701
460,Editorial Sexto Piso,DLV00005102
461,Editorial Sindéresis,DLV00029282
462,Editorial Sirio,DLV00001741
463,Editorial Síntesis  S.A.,DLV00007901
464,Editorial Tambre (Edelvives),DLV00000721
465,Editorial Tecnos,DLV00000372
466,Editorial Teide  S.A.,DLV00002261
467,Editorial Toromítico,DLV00011963
468,Editorial Tregolam,DLV00032984
469,Editorial Trotta  S.A.,DLV00000546
470,Editorial Tébar Flores,DLV00001421
471,Editorial UOC  S.L.,DLV00000823
472,Editorial Universidad Francisco de Vitoria,DLV00027788
473,Editorial Universidad de Almería,DLV00005201
474,Editorial Universidad de Cantabria,DLV00004161
475,Editorial Universidad de Granada,DLV00006241
476,Editorial Universidad de Jaén,DLV00005741
477,Editorial Universidad de Sevilla-Secretariado de Publicaciones,DLV00006181
478,Editorial Universitaria Ramón Areces,DLV00001403
479,Editorial Universitas  S.A.,DLV00025043
480,Editorial Universitat Politècnica de València,DLV00007681
481,Editorial Verbo Divino,DLV00001961
482,Editorial Vicens Vives,DLV00000822
483,Editorial de Espiritualidad,DLV00006801
484,Editorial de Música Boileau  S.L.,DLV00015001
485,Editorial del Nuevo Extremo  S.L.,DLV00053983
486,Editorial el Pirata,DLV00073665
487,Editum. Ediciones de la Universidad de Murcia,DLV00003821
488,Ediuno,DLV00039803
489,Educaula,DLV00007981
490,Effective Education Publishing,DLV00053748
491,Eirene Editorial,DLV00038974
492,El Aleph Editores,DLV00004904
493,El Buey Mudo,DLV00011641
494,El Cep i la Nansa Edicions,DLV00005601
495,El Consultor de los Ayuntamientos,DLV00008423
496,El Derecho Editores,DLV00013741
497,El Paseo Editorial,DLV00068123
498,Elipse,DLV00044585
499,Elkar,DLV00000761
500,Elsevier España  S.L.U.,DLV00009281
501,Embolsillo,DLV00008981
502,Empresa Activa,DLV00008825
503,Enciclopèdia Catalana  SLU,DLV00000799
